student_id,item_DSS_PRE_Q1,item_DSS_PRE_Q2,item_DSS_PRE_Q3,item_DSS_PRE_Q4,item_DSS_PRE_Q5,item_DSS_PRE_Q6,item_DSS_PRE_Q7,item_DSS_PRE_Q8,item_DSS_PRE_Q9,item_GHSQ_PE_PRE_Q1,item_GHSQ_PE_PRE_Q2,item_GHSQ_PE_PRE_Q3,item_GHSQ_PE_PRE_Q4,item_GHSQ_PE_PRE_Q5,item_GHSQ_PE_PRE_Q6,item_GHSQ_PE_PRE_Q7,item_GHSQ_PE_PRE_Q8,item_GHSQ_PE_PRE_Q9,item_GHSQ_PE_PRE_Q10,item_THERMO_PRE_Black,item_THERMO_PRE_White,item_DSS_POST_Q1,item_DSS_POST_Q2,item_DSS_POST_Q3,item_DSS_POST_Q4,item_DSS_POST_Q5,item_DSS_POST_Q6,item_DSS_POST_Q7,item_DSS_POST_Q8,item_DSS_POST_Q9,item_GHSQ_PE_POST_Q1,item_GHSQ_PE_POST_Q2,item_GHSQ_PE_POST_Q3,item_GHSQ_PE_POST_Q4,item_GHSQ_PE_POST_Q5,item_GHSQ_PE_POST_Q6,item_GHSQ_PE_POST_Q7,item_GHSQ_PE_POST_Q8,item_GHSQ_PE_POST_Q9,item_GHSQ_PE_POST_Q10,item_THERMO_POST_Black,item_THERMO_POST_White
2,2,1,1,1,1,2,4,1,3,4,6,3,2,7,3,2,1,1,4,85,80,2,1,1,1,1,2,4,1,3,4,6,4,2,7,3,2,1,1,4,90,80
12,2,1,1,1,1,2,2,1,2,1,6,6,4,7,3,3,1,1,4,75,75,2,1,1,1,1,2,2,1,2,1,6,6,4,7,3,3,1,1,4,80,75
14,2,1,1,1,1,2,2,1,2,1,6,5,2,5,3,2,1,1,3,75,80,2,1,1,1,1,2,2,1,2,1,6,5,2,5,3,2,1,1,3,80,80
16,2,1,1,1,1,2,4,2,3,1,6,5,3,6,4,2,1,3,4,70,75,2,1,1,1,1,2,4,2,3,1,6,5,3,7,4,2,1,3,4,80,75
22,2,1,1,1,1,2,4,1,2,1,3,2,3,5,2,3,1,4,4,55,70,2,1,1,1,1,2,4,1,2,1,2,2,4,5,2,3,1,4,5,65,70
24,2,1,1,1,1,3,2,1,2,1,6,4,2,7,3,3,1,1,4,80,85,2,1,1,1,1,3,2,1,2,1,6,4,2,7,3,3,1,1,4,85,85
29,1,1,1,1,1,3,3,1,2,4,6,2,4,7,3,2,1,1,5,75,80,1,1,1,1,1,3,3,1,2,1,7,2,4,7,3,2,1,1,5,85,80
38,2,1,1,1,1,2,4,1,2,1,6,5,3,5,2,4,1,1,4,75,80,2,1,1,1,1,2,4,1,2,1,6,5,3,5,2,4,1,1,4,85,80
39,1,1,1,1,1,2,4,1,2,4,6,2,3,7,4,3,1,1,4,75,80,1,1,1,1,1,2,4,1,2,4,6,2,3,7,4,3,1,1,4,80,80
43,2,1,1,1,1,2,4,2,3,1,5,3,2,6,3,3,1,4,4,75,80,2,1,1,1,1,2,4,2,3,1,5,3,2,6,3,3,1,4,4,80,80
47,2,2,1,1,1,3,4,3,2,2,6,4,2,5,3,2,1,1,3,65,75,2,2,1,1,1,3,4,3,2,2,6,4,2,6,3,2,1,1,3,75,75
64,2,1,1,1,1,2,3,1,2,1,6,3,2,6,3,3,1,1,4,70,75,2,1,1,1,1,2,3,1,2,1,6,3,2,6,3,3,1,1,4,75,75
66,1,1,1,1,1,2,4,3,2,4,6,5,3,4,2,2,1,1,4,70,80,1,1,1,1,1,2,4,3,2,4,6,5,3,5,2,2,1,1,4,80,80
67,2,1,1,1,1,2,3,2,2,1,6,4,2,3,2,2,1,1,4,75,80,2,1,1,1,1,2,3,2,2,1,6,4,2,3,2,2,1,1,4,80,80
76,2,1,1,1,1,2,3,2,2,1,4,6,2,3,3,2,1,3,3,65,70,2,1,1,1,1,2,2,2,2,1,4,6,2,3,3,2,1,3,3,75,70
79,2,2,1,1,1,2,4,1,3,4,5,6,3,7,4,3,1,1,4,75,80,2,2,1,1,1,2,4,1,3,4,5,6,3,7,4,3,1,1,4,80,80
80,1,1,1,1,1,2,3,2,3,4,6,5,3,6,2,3,1,1,4,70,75,1,1,1,1,1,2,3,2,3,4,6,5,3,6,3,4,1,1,4,75,75
93,2,2,1,1,1,2,3,1,2,1,6,5,3,6,3,4,1,2,4,75,78,2,2,1,1,1,2,3,1,2,1,6,6,4,6,3,4,1,2,5,85,78
