student_id,item_DSS_PRE_Q1,item_DSS_PRE_Q2,item_DSS_PRE_Q3,item_DSS_PRE_Q4,item_DSS_PRE_Q5,item_DSS_PRE_Q6,item_DSS_PRE_Q7,item_DSS_PRE_Q8,item_DSS_PRE_Q9,item_GHSQ_PE_PRE_Q1,item_GHSQ_PE_PRE_Q2,item_GHSQ_PE_PRE_Q3,item_GHSQ_PE_PRE_Q4,item_GHSQ_PE_PRE_Q5,item_GHSQ_PE_PRE_Q6,item_GHSQ_PE_PRE_Q7,item_GHSQ_PE_PRE_Q8,item_GHSQ_PE_PRE_Q9,item_GHSQ_PE_PRE_Q10,item_THERMO_PRE_Black,item_THERMO_PRE_White,item_DSS_POST_Q1,item_DSS_POST_Q2,item_DSS_POST_Q3,item_DSS_POST_Q4,item_DSS_POST_Q5,item_DSS_POST_Q6,item_DSS_POST_Q7,item_DSS_POST_Q8,item_DSS_POST_Q9,item_GHSQ_PE_POST_Q1,item_GHSQ_PE_POST_Q2,item_GHSQ_PE_POST_Q3,item_GHSQ_PE_POST_Q4,item_GHSQ_PE_POST_Q5,item_GHSQ_PE_POST_Q6,item_GHSQ_PE_POST_Q7,item_GHSQ_PE_POST_Q8,item_GHSQ_PE_POST_Q9,item_GHSQ_PE_POST_Q10,item_THERMO_POST_Black,item_THERMO_POST_White
3,1,1,1,1,1,2,3,1,2,4,6,5,2,7,3,2,1,1,4,75,85,1,1,1,1,1,2,2,1,1,5,6,5,2,7,3,2,1,1,4,85,85
4,2,1,1,1,1,2,3,1,2,1,6,5,3,4,3,2,1,2,4,80,75,1,1,1,1,1,2,2,1,2,2,7,6,3,6,4,3,1,1,5,90,75
6,2,1,1,1,1,3,5,1,2,6,7,4,2,7,3,2,1,3,4,75,80,1,1,1,1,1,3,4,1,2,7,7,5,2,7,4,2,1,2,5,85,80
9,1,1,1,1,1,2,3,1,2,1,6,6,3,7,4,3,1,1,4,80,85,1,1,1,1,1,2,2,1,1,1,7,7,3,7,5,3,1,1,5,90,85
13,2,1,1,1,1,2,4,3,2,1,6,3,3,5,3,2,1,4,5,75,75,1,1,1,1,1,2,3,2,2,1,6,4,3,6,3,2,1,3,6,80,75
14,2,1,1,1,1,2,4,1,2,5,6,6,2,7,3,4,1,1,5,85,80,1,1,1,1,1,1,3,1,1,6,7,6,2,7,4,4,1,1,6,90,80
16,1,1,1,1,1,2,3,1,2,4,6,5,2,7,3,2,1,1,4,75,80,1,1,1,1,1,2,2,1,2,4,7,6,3,7,3,2,1,1,4,85,75
18,2,1,1,1,1,2,1,1,2,1,6,6,2,7,4,3,1,1,4,75,78,1,1,1,1,1,2,1,1,2,1,7,6,3,7,5,4,1,1,4,85,78
26,2,1,1,1,1,2,3,2,2,1,6,5,2,4,2,1,1,1,3,65,75,1,1,1,1,1,1,3,3,1,1,7,6,2,5,3,1,1,1,4,80,75
29,1,1,1,1,1,3,4,2,3,2,6,3,2,5,3,2,1,3,4,65,75,1,1,1,1,1,3,4,2,3,2,6,3,2,6,3,2,1,3,4,75,70
30,2,1,1,1,1,2,3,2,2,1,6,4,3,3,4,3,1,1,4,75,80,1,1,1,1,1,2,3,2,2,1,7,5,3,5,4,3,1,1,4,85,80
31,2,1,1,1,1,3,4,2,3,1,6,3,2,5,4,3,1,3,4,70,75,1,1,1,1,1,2,3,1,2,1,7,4,2,6,5,4,1,2,5,80,75
34,2,1,1,1,1,2,4,2,2,1,6,5,3,7,4,2,1,1,4,55,70,2,1,1,1,1,2,4,2,2,1,6,6,3,7,4,2,1,1,4,75,70
35,2,1,1,1,1,3,4,2,3,1,6,5,3,4,4,2,1,1,4,75,80,1,1,1,1,1,3,3,1,3,1,6,6,3,5,4,2,1,1,5,85,80
37,2,1,1,1,1,2,3,1,2,1,6,4,2,7,3,2,1,1,4,75,80,1,1,1,1,1,2,2,1,1,1,6,5,3,7,3,2,1,1,4,85,80
40,2,1,1,1,1,3,3,1,2,1,6,4,2,3,1,2,1,1,5,75,80,1,1,1,1,1,2,2,1,1,1,7,5,2,6,1,3,1,1,6,85,75
42,2,1,1,1,1,2,3,1,2,1,6,5,3,6,4,2,1,1,4,65,75,1,1,1,1,1,2,3,1,2,1,7,6,4,7,4,2,1,1,5,80,70
43,1,1,1,1,1,2,4,1,3,1,6,3,2,6,3,4,1,2,4,65,75,1,1,1,1,1,2,4,1,3,1,6,4,2,7,4,4,1,2,5,75,70
45,2,1,1,1,1,2,4,2,3,4,6,5,2,6,3,3,1,1,4,75,80,1,1,1,1,1,2,3,1,2,5,6,5,2,7,4,3,1,1,4,85,80
46,2,1,1,1,2,2,3,1,2,6,7,7,2,7,3,4,1,1,5,85,90,1,1,1,1,1,1,2,1,1,6,7,7,2,7,3,4,1,1,5,90,90
47,2,1,1,1,1,3,4,2,3,1,6,4,3,5,2,2,1,1,3,75,80,1,1,1,1,1,2,3,1,1,1,7,5,4,6,3,2,1,1,4,85,80
48,2,1,1,1,1,2,4,1,2,3,6,5,2,4,3,2,1,1,4,75,80,1,1,1,1,1,2,3,1,2,4,7,6,2,6,3,3,1,1,5,85,80
